OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Belize,12081,UNDP/ COMPACT Re-granting,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OAK,UNDP/COMPACT Re-granting,"163,000.00"
Ukraine,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"162,977.88"
Togo,237,GOVERNMENT OF TOGO,TGO,Togo,TGO_GOVT,Togo Government,"161,814.54"
Haiti,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"160,305.34"
Thailand,11645,Metropolitan Waterworks Author,THA,Thailand,THA_MIN,Thailand Ministry,"159,897.67"
Peru,11154,PER - GOB REG AMAZONAS,PER,Peru,PER_GOVT,Peru Government,"159,522.80"
Colombia,11567,ISA SA ESP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ISA SA ESP,PRIV_COLOMBIA,"159,038.69"
Honduras,1860,UN High Com'r Human Rights,UN_AGY 1,UN AGENCY 1,UNHCHR,Office of the UN High Commissi,"159,030.93"
Serbia,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,"158,847.03"
Reg Bur Latin Amer & Carib,313,INCOME GENERATED FROM PROJECTS,UN_AGY 1,UN AGENCY 1,IGP,AGY_INCOME GENERATED FROM PROJ,"158,483.54"
Turkey,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"156,913.83"
Burundi,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"156,645.26"
Colombia,11631,NIMD,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COL_NIMD,PRIV,"154,885.27"
Dominican Republic,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,"154,699.00"
Mexico,12073,DIF Puebla,MEX,Mexico,MEX_GOVT,Mexico Government,"154,196.89"
Mauritius,159,GOVERNMENT OF MAURITIUS,MUS,Mauritius,MUS_GOVT,Mauritius Government,"153,000.00"
Lebanon,11975,Provincia di Viterbo,ITA,Italy,ITA_GOVT,Italy Government,"152,814.68"
China,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,"152,500.00"
Mexico,12039,Gobierno del Estado de Puebla,MEX,Mexico,MEX_GOVT,Mexico Government,"150,862.35"
Azerbaijan,10707,HEYDAR ALIYEV FOUNDATION-AZERB,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,AZE-H.A.F,PRIV_HEYDAR FOUND,"150,088.87"
Bratislava Regional Center,11414,UNOPS TFM,UN_AGY 1,UN AGENCY 1,UNOPS,United Nations Office for Proj,"150,000.00"
Somalia,10784,SHELL FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SHELL F.,PRIV_SHELL FOUNDATION,"150,000.00"
Somalia,11952,BRA-MAERSK,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,"150,000.00"
Somalia,12008,STENA AB,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,STENA AB,STENA AB,"150,000.00"
Somalia,12011,BP INTERNATIONAL LIMITED,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BP,PRIV_BRITISH PETROLEUM,"150,000.00"
Bhutan,10480,USAID,USA,United States of America,USAID,USAID,"149,800.00"
Lebanon,11217,Berghof Foundation for Peace S,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BFPS,PRIV_GERMANY,"149,535.50"
Iraq,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,"149,533.39"
Uruguay,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"147,069.10"
Eritrea,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"146,677.53"
Egypt,56,GOVERNMENT OF AUSTRIA,AUT,Austria,AUT_GOVT,Austria Government,"145,454.55"
Prog for Palestinian People,188,GOVERNMENT OF NEW ZEALAND,NZL,New Zealand,NZL_GOVT,New Zealand Government,"144,370.00"
Senegal,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"144,164.64"
Guatemala,10480,USAID,USA,United States of America,USAID,USAID,"143,969.43"
Niger,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"142,760.47"
Jamaica,10480,USAID,USA,United States of America,USAID,USAID,"141,724.55"
Lesotho,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"141,188.64"
Dominican Republic,11177,CADBURY HOLDINGS LTD,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CADBURY,PRIV_UNITED KINGDOM,"140,000.00"
Afghanistan,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,"138,184.72"
Syria,10761,SYR MINISTRY OF LOCAL ADMINIST,SYR,Syrian Arab Republic,SYR_MIN,Syria Ministry,"137,197.09"
Mongolia,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"136,845.33"
Zambia,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"135,312.51"
Uzbekistan,12078,SASOL SYNFUELS INTERNATIONAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SASOL,SASOL SYNFUELS INTERNATIONAL,"135,000.00"
Bratislava Regional Center,1655,RUS-RUSSIAN GOVERNMENT,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,"134,843.00"
Madagascar,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"134,820.00"
Iraq,455,JAPANESE INTNL COOP AC.:UNCDF,JPN,Japan,JPN_GOVT,Japan Government,"134,686.95"
Maldives,10699,WORLD CONSERVATION UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WCU,WORLD CONSERVATION UNION,"134,370.00"
Lebanon,11419,Live Lebanon,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,LIVELEB,PRIV_LEBANON,"134,120.04"
Brazil,11364,MDTFO\JP_MDG-F_Conflict_&_PB,MDTF1,BU,MDGF_CONFL,BCPR CONFLICT PREVENTION,"132,639.00"
Georgia,1064,GEO-GOVERNMENT,GEO,Republic of Georgia,GEO_GOVT,Republic of Georgia Government,"132,625.99"
Reg Bur Latin Amer & Carib,10469,Agencia Catalana de Cooperació,ESP,Spain,ESP_GOVT,Spain Government,"132,625.99"
Prog for Palestinian People,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"132,185.43"
Bureau for Dev. Policy,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,"130,890.05"
Lao People's Democratic Republ,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"130,378.10"
Lao People's Democratic Republ,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,"130,000.00"
Nigeria,11493,Anambra State Government,NGA,Nigeria,NGA_GOVT,Nigeria Government,"130,000.00"
Viet Nam,11924,MPTF/JP_UN PART RIGHTS DISAB,MDTF1,BU,UN_PRPD_DISABILITIES,Rights of Persons- Disabilitie,"130,000.00"
Burundi,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"129,535.99"
Albania,1232,ALB-SLOVENIAN ITF FOR MINE ACT,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,"128,571.42"
Nigeria,10563,SOKOTO STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,"126,662.45"
Georgia,1545,GEO-OSCE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,"126,039.98"
"South Sudan, Republic of",550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"124,977.74"
Ethiopia,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"124,345.55"
Pakistan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"123,037.56"
Colombia,1033,COL-GOBERNACION DEL TOLIMA,COL,Colombia,COL_GOVT,Colombia Government,"121,487.42"
Benin,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,"121,078.08"
Serbia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"120,087.35"
Lebanon,1572,LEB-PARLEMENT LIBANAIS,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"119,967.06"
Armenia,12088,National Platform on DRR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PLATFORM,National Platform on DRR,"119,458.13"
Reg Bur Latin Amer & Carib,1573,PER-PRESIDENCIA DEL CONSEJO DE,PER,Peru,PER_MIN,Peru Ministry,"119,200.00"
"Moldova, Republic of",205,GOVERNMENT OF ROMANIA,ROM,Romania,ROM_GOVT,Romania Government,"117,340.29"
Serbia,55456,Municipality of Vracar SRB,SRB,SERBIA,SRB_GOVT,SERBIA,"116,359.73"
Bureau for Dev. Policy,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,"115,341.34"
Montenegro,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"115,239.46"
Mexico,12035,Fundacion BBVA Bancomer,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BANCOMER,Foundacion BBVA Bancomer,"115,227.01"
"Cameroon, Republic of",10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"115,178.00"
Bratislava Regional Center,10964,MARIA SHARAPOVA FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MSFOUNDATION,"PRIV_DONOR, RUSSIA","115,000.00"
Guatemala,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,"115,000.00"
South Africa,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"113,420.00"
Colombia,599,COL-ALCALDIA DE BUCARAMANGA,COL,Colombia,COL_MIN,Colombia Ministry,"112,930.55"
Ukraine,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"112,898.00"
Mexico,11557,PNUD HONDURAS,UN_AGY 1,UN AGENCY 1,PNUD,AGY_COL-PROGRAMA DE LAS NACION,"112,500.00"
Yemen,257,GOVERNMENT OF YEMEN,YEM,Yemen,YEM_GOVT,Yemen Government,"112,154.86"
Kazakhstan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"111,773.74"
Iraq,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"110,770.00"
Kyrgyzstan,11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,"110,213.16"
United Republic of Tanzania,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,"110,000.00"
Bratislava Regional Center,10315,ORG FOR SECURITY AND COOPERATI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,"109,645.37"
Colombia,11998,Alcaldia de Monteria,COL,Colombia,COL_GOVT,Colombia Government,"109,554.53"
United Republic of Tanzania,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,"104,861.77"
India,11700,RABOBANK FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,RABOBANK,PRIV,"104,119.79"
Montenegro,11646,Municipality of Cetinje,MNE,MONTENEGRO,MNE_MIN,Ministry of Montenegro,"103,153.55"
Brazil,11902,BRA- Sec Planej de Minas Gerai,BRA,Brazil,BRA_MIN,Brazil Ministry,"103,051.53"
Tunisia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"100,809.53"
Morocco,11793,UNDP AS MA_POOLED FUNDS,UN_AGY 1,UN AGENCY 1,UNDP_MA,UNDP AS MA_POOLED FUNDS,"100,716.27"
Lebanon,11971,MDTFO/UNDP-JP Palest. Refugees,MDTF1,BU,PAL JP,MDTFO/UNDP-JP Palest. Refugees,"100,682.50"
Haiti,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"100,070.37"
Bureau for Dev. Policy,11999,Motorola Solutions Foundation,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MOT. FOUN.,Motorola Solutions Foundation,"100,000.00"
Egypt,205,GOVERNMENT OF ROMANIA,ROM,Romania,ROM_GOVT,Romania Government,"100,000.00"
Ethiopia,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"100,000.00"
Lebanon,11911,Bank Beirut and the Arab World,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,LEBANON,PRIVATE NATIONAL,"100,000.00"
Lebanon,11991,BANQUE DU LIBAN,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"100,000.00"
Reg Bur Latin Amer & Carib,98,GOVERNMENT OF DOMINICAN REPUBL,DOM,Dominican Republic,DOM_GOVT,Dominican Republic Government,"100,000.00"
Reg Bur Latin Amer & Carib,11329,CORPORACION ANDINA DE FOMENTO,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CAF-LAC,LATIN AMERICAN DEVELOPMENT BAN,"100,000.00"
Reg Bureau for Asia & Pacific,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"100,000.00"
Reg Bureau for Asia & Pacific,10699,WORLD CONSERVATION UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WCU,WORLD CONSERVATION UNION,"100,000.00"
Regional SC - Johannesburg,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"100,000.00"
"South Sudan, Republic of",32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,"100,000.00"
Syria,11423,SYRIA MTN,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SYRIA MTN,PRIV_SYRIA BASED,"100,000.00"
United Republic of Tanzania,10480,USAID,USA,United States of America,USAID,USAID,"100,000.00"
Yemen,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,"100,000.00"
Nicaragua,304,FORD FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FF,PRI_FORD FOUNDATION,"99,930.00"
Ethiopia,10480,USAID,USA,United States of America,USAID,USAID,"99,577.00"
Belize,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,"99,456.50"
Azerbaijan,11965,SYSLAB International Ltd,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SYSLAB,Syslab International Ltd,"99,372.53"
Dominican Republic,11296,COMITE DE MILAN,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MILAN,PRIV_ITALIA,"99,102.31"
Haiti,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,"99,000.00"
Somalia,12009,NIPPON YUSEN KABUSHIKI KAISHA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NYK LINE,NIPPON YUSEN KABUSHIKI KAISHA,"99,000.00"
Kosovo,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,"98,589.86"
Nepal,1860,UN High Com'r Human Rights,UN_AGY 1,UN AGENCY 1,UNHCHR,Office of the UN High Commissi,"97,988.00"
Serbia,11871,Municipality of Cajetina SRB,SRB,SERBIA,SRB_GOVT,SERBIA,"97,680.41"
Lebanon,11992,RICERCA E COOPERAZIONE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,RICERCAECO,RICERCA E COOPERAZIONE,"94,976.79"
Myanmar,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"93,839.00"
Reg Bur Latin Amer & Carib,12019,Centro Global para el Desarrol,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CGDD,Centro Global para el Desarrol,"93,800.00"
Honduras,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"90,000.00"
Kenya,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,"90,000.00"
Nicaragua,42,DEVELOPMENT NETWORK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,DEVNET,Development Network,"89,831.00"
Prog for Palestinian People,10281,DEPT OF FOR AFF & INTL TRADE G,CAN,Canada,CAN_GOVT,Canada Government,"89,515.13"
Colombia,11081,COL-ALCALDIA DE TUNJA,COL,Colombia,COL_MIN,Colombia Ministry,"88,541.67"
Barbados,1860,UN High Com'r Human Rights,UN_AGY 1,UN AGENCY 1,UNHCHR,Office of the UN High Commissi,"88,465.00"
Lebanon,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"87,979.30"
Colombia,11946,Secreteria de Educacion y Cult,COL,Colombia,COL_MIN,Colombia Ministry,"87,335.43"
Colombia,10481,ALCALDIA DE SOACHA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ALC.SOACHA,PRIV_ALC.SOACHA,"86,271.81"
Somalia,11403,SDC-Swiss Agency For Developme,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"85,785.00"
Togo,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"85,640.00"
China,12015,Sunshine Kaidi New Energy,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,KAIDI,Sunshine Kaidi New Energy,"83,353.00"
Bureau for Dev. Policy,329,DANIDA:,DNK,Denmark,DNK_MIN,Denmark Ministry,"82,562.73"
Serbia,10238,UNISDR,UN_AGY 1,UN AGENCY 1,UNISDR,AGY_UNISDR,"82,560.00"
Bureau for Dev. Policy,1480,NAT'L DEMOCRATIC INSTITUTE FOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NDI,PRIV_YEM-NATIONAL DEMOCRATIC I,"80,000.00"
Bolivia,12056,FAMSI,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FAMSI-NGO,FAMSI,"78,977.92"
Lebanon,54391,LEB-Ministry of Interior,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"78,805.00"
Uganda,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"78,758.00"
Senegal,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"78,741.30"
Turkmenistan,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"78,616.80"
Turkey,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,"77,923.26"
Guatemala,1560,GUA-OTROS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OTROS,PRIV_GUATEMALA,"77,140.84"
Cuba,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"76,321.00"
Democratic Republic of Congo,11243,HUMANITY UNITED,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,HUMANITY U,PRIV_USA,"75,542.00"
Colombia,12033,Area Metropolitana de Bucarama,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,AMB,Area Metropolitana de Bucarama,"75,520.83"
Madagascar,36,INTERNATIONAL FUND FOR AGRICUL,UN_AGY 1,UN AGENCY 1,IFAD,AGY_NTERNATIONAL FUND FOR AGRI,"75,374.00"
Kyrgyzstan,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"75,000.00"
Ofc of Audit and Investigation,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"75,000.00"
Philippines,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"75,000.00"
Tajikistan,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"74,920.91"
Djibouti,11074,AGENCE FRANCAISE DE DEVELOPPEM,FRA,France,FRA_GOVT,France Government,"74,491.18"
Guatemala,11314,MDTFO/JP_Indig_Rights_GUA,MDTF1,BU,JP-GT INDG,GUATEMALA,"74,186.29"
Peru,11161,PER-MINISTERIO DE DEFENSA,PER,Peru,PER_MIN,Peru Ministry,"74,127.91"
Colombia,10480,USAID,USA,United States of America,USAID,USAID,"72,000.00"
Colombia,1026,COL-GOBERNACION DE CUNDIAMARCA,COL,Colombia,COL_GOVT,Colombia Government,"71,447.40"
Mexico,11659,W.K.Kellog Foundation,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,KELLOG,PRIV,"70,104.00"
Turkmenistan,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"70,000.00"
Honduras,1353,HON-MINISTERIO DE FINANZAS,HND,Honduras,HND_MIN2,Honduras Ministry2,"69,744.60"
Colombia,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,"69,550.00"
Croatia,11110,MUNICIPALITY BARILOVIC,HRV,Croatia,HRV_GOVT,Croatia Government,"68,211.17"
Paraguay,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,"68,065.00"
Mexico,10314,BRITISH EMBASSY,GBR,United Kingdom,GBR_MIN,United Kingdom Ministry,"67,496.16"
Ukraine,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"67,138.08"
Egypt,10786,MINISTRY OF SOCIAL SOLIDARITY,EGY,Egypt,EGY_MIN,Egypt Ministry,"66,176.47"
Azerbaijan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"65,177.85"
Mongolia,10314,BRITISH EMBASSY,GBR,United Kingdom,GBR_MIN,United Kingdom Ministry,"65,000.00"
Ukraine,12030,UNAIDS-UBRAF,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,"65,000.00"
Serbia,10779,UNOPS-CSA,UN_AGY 1,UN AGENCY 1,UNOPS,United Nations Office for Proj,"64,474.50"
Kosovo,10480,USAID,USA,United States of America,USAID,USAID,"64,306.59"
Maldives,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,"63,512.54"
Sri Lanka,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"61,777.57"
Ghana,11866,Kofi Annan Int Peace Trng Cent,MUTLI_AGY2,MULTI-LATERAL AGENCY2,KAIPTC,Kofi Annan Int Peace Trng Cent,"61,500.00"
Cape Verde,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"61,090.00"
Bureau for Dev. Policy,11929,MDTFO/UNDP CVF,MDTF1,BU,BOM_OFA_ACCOUNTS,MDTFO/UNDP CVF,"61,058.47"
Reg Bureau for Asia & Pacific,18,ASIAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ASDB,Asian Development Bank,"61,017.00"
Maldives,10480,USAID,USA,United States of America,USAID,USAID,"60,632.00"
Serbia,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,"60,345.24"
Croatia,11615,NACIONALNA ZAKLADA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IMPACT,PRIV,"60,000.00"
Georgia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"60,000.00"
Kazakhstan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"59,706.00"
Yemen,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"59,450.40"
Central African Republic,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,"59,000.00"
Ethiopia,11605,MDTFO/JP_Ethiopia_One_UN_Fund,MDTF1,BU,ETH_ONE_UN,MDTFO/JP_Ethiopia_One_UN_Fund,"58,698.00"
Zimbabwe,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"58,698.00"
Uruguay,11912,Organizacion Internacional de,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,URUGUAY,PRIVATE NATIONAL,"58,334.25"
Spcl Unit for South South Coop,455,JAPANESE INTNL COOP AC.:UNCDF,JPN,Japan,JPN_GOVT,Japan Government,"58,312.50"
Namibia,1501,NAM-NATIONAL INSTITUTE FOR EDU,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NIED,PRIV_NAM-NATIONAL INSTITUTE FO,"57,291.44"
Cyprus,11686,FAMILY HEALTH INTERNATIONAL RE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,FHI,PRIV_FHI,"57,020.00"
Cyprus,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"56,797.58"
Ukraine,11884,Development of Ukrain Foundn,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,UKRAINE,PRIVATE NATIONAL,"56,596.04"
Colombia,11797,Alcaldia de Floridablanca,COL,Colombia,COL_MIN,Colombia Ministry,"56,465.27"
Maldives,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,"56,237.50"
Ecuador,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"55,692.25"
Reg Bur Latin Amer & Carib,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"55,000.00"
Tajikistan,10342,OXFAM,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OXFAM,PRIV_OXFORD,"54,999.00"
"Moldova, Republic of",231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,"54,330.95"
